Coordinates,East,North,CanOpen2015GLA,CanOpen2018GLA,Diff18-15,2018Quarter
E000N000,0,0,12.76,13.85,1.09,W2018
E000N020,0,20,10.99,14.35,3.36,W2018
E000N040,0,40,9.86,11.55,1.69,W2018
E000N060,0,60,12.92,16.28,3.36,W2018
E000N080,0,80,10.68,12.16,1.48,W2018
E000N100,0,100,10.08,14.15,4.07,W2018
E000N120,0,120,12.52,14.65,2.13,W2018
E000N140,0,140,13.08,15.08,2,W2018
E000N160,0,160,11.82,15.1,3.28,W2018
E000N180,0,180,12.39,12.46,0.07,W2018
E000N200,0,200,11.58,15.86,4.28,W2018
E000N220,0,220,13.21,15.67,2.46,W2018
E000N240,0,240,11.17,13.92,2.75,W2018
E000N260,0,260,10.24,8.16,-2.08,F2018
E000N280,0,280,10.55,12.91,2.36,W2018
E000N300,0,300,12.38,11.49,-0.89,W2018
E000N320,0,320,12.87,12.84,-0.03,W2018
E000N340,0,340,12.08,9.91,-2.17,F2018
E000N360,0,360,13.96,17.1,3.14,W2018
E000N380,0,380,16.64,33.32,16.68,W2018
E000N400,0,400,35.78,32.25,-3.53,F2018
E020N000,20,0,7.48,12.17,4.69,W2018
E020N020,20,20,11.37,11.33,-0.04,W2018
E020N040,20,40,11.19,10.93,-0.26,W2018
E020N060,20,60,10.22,10.97,0.75,W2018
E020N080,20,80,10.65,9.93,-0.72,W2018
E020N100,20,100,9.97,13.93,3.96,W2018
E020N120,20,120,9.93,11.28,1.35,W2018
E020N140,20,140,8.84,13.01,4.17,F2018
E020N160,20,160,11.56,11.47,-0.09,W2018
E020N180,20,180,10.34,14.36,4.02,W2018
E020N200,20,200,10.67,11.19,0.52,W2018
E020N220,20,220,6.75,11.12,4.37,W2018
E020N240,20,240,10.57,13.79,3.22,W2018
E020N260,20,260,13.93,18.52,4.59,W2018
E020N280,20,280,12.89,14.6,1.71,W2018
E020N300,20,300,13.73,15.08,1.35,W2018
E020N320,20,320,11.23,14.54,3.31,W2018
E020N340,20,340,11.26,10.71,-0.55,W2018
E020N360,20,360,12.35,19.07,6.72,W2018
E020N380,20,380,11.73,14.79,3.06,W2018
E020N400,20,400,11.44,16.9,5.46,W2018
E040N000,40,0,10.06,11.73,1.67,W2018
E040N020,40,20,7.72,12.76,5.04,W2018
E040N040,40,40,9.67,12.79,3.12,W2018
E040N060,40,60,11.23,13.46,2.23,W2018
