tag,stemtag,SOD2017,Status2017,Date,notes
1964,2,0,A,2/4/17,
8630,1,0,A,2/4/17,
8641,1,0,A,2/4/17,
2030,1,2,A,1/28/17,
8649,1,2,A,2/4/17,
2039,1,0,A,2/4/17,
2045,1,1,A,2/4/17,
2043,1,3,A,2/4/17,
8648,1,0,A,2/4/17,
8646,1,2,A,2/4/17,
2046,1,1,A,2/4/17,
2049,1,1,A,2/4/17,
2052,1,2,A,2/4/17,
2047,1,2,A,2/4/17,
2048,1,5,DS-R,2/4/17,
8645,1,3,A,2/4/17,
2112,1,-99,DC-Q,2/11/17,SOD&Status?
8657,1,0,A,2/11/17,
2281,1,2,A,2/11/17,
2288,1,1,A,2/11/17,
2279,1,0,A-Q,2/11/17,
2279,2,0,A,2/11/17,
2331,1,1,A,2/11/17,
2284,1,2,A,2/11/17,
2283,1,0,A,2/11/17,
2285,1,2,A,2/11/17,
2287,1,2,A,2/11/17,
2286,1,0,A-Q,2/11/17,
2292,1,1,A,2/11/17,
2289,1,0,A,2/4/17,
2289,2,0,A,2/4/17,
2289,3,1,A,2/4/17,
2289,4,1,A,2/4/17,
2289,5,1,A,2/4/17,
2317,1,-99,DC-B,2/4/17,SOD&Status?
2314,1,0,A,2/4/17,
2314,2,0,A,2/4/17,
2316,1,3,A,2/4/17,
2316,2,-99,DC-B,2/4/17,
8660,1,1,A,2/4/17,
8659,1,0,A-Q,2/11/17,
8662,1,-99,DC-Q,2/11/17,
8661,1,0,A,2/11/17,
2251,1,0,A,2/11/17,
6211,1,1,A,2/28/17,
6227,1,3,A,2/28/17,
6227,2,0,A,2/28/17,
6208,1,5,DS,2/28/17,
6208,2,5,DS,2/28/17,
6228,1,1,A,2/28/17,
6228,2,1,A,2/28/17,
6219,1,1,A,2/28/17,
6219,2,2,A,2/28/17,
6092,1,1,A,2/28/17,
6089,1,5,DS-R,2/28/17,
6094,1,1,A-R,2/28/17,
6095,1,5,DS-R,2/28/17,
6201,1,5,DS-R,2/28/17,
6201,2,5,DS,2/28/17,
6192,1,1,A,2/28/17,
6192,2,3,A,2/28/17,
6174,1,0,A,2/28/17,
6171,1,0,A,2/28/17,
6171,2,0,A,2/28/17,
6171,3,0,A,2/28/17,
6199,1,4,A,2/28/17,
6199,2,4,A,2/28/17,
6198,1,4,A,2/28/17,
6198,2,4,A,2/28/17,
6175,1,0,A,2/28/17,
6175,2,1,A,2/28/17,
6187,1,1,A,2/28/17,
6186,1,0,A,2/28/17,
6197,1,0,A,2/28/17,
6197,2,0,A,2/28/17,
6197,3,1,A,2/28/17,
6197,4,1,A,2/28/17,
6184,1,0,A,2/28/17,
6184,2,0,A,2/28/17,
6184,3,0,A,2/28/17,
6196,1,0,A,2/28/17,
6181,1,4,A,2/28/17,
6181,2,5,DS,2/28/17,
6100,1,4,A,2/28/17,
6100,2,3,A,2/28/17,
6100,3,5,DS,2/28/17,
6100,4,5,DS,2/28/17,
6269,1,4,A,2/28/17,
9773,5,,,,missing data
9773,6,,,,missing data
4952,1,,,,missing data
4951,1,,,,missing data
9793,1,0,A,2/14/17,
3436,1,0,A,2/14/17,
9796,1,0,A,2/14/17,
9605,1,-99,DC-Q,2/14/17,couldn't find
3337,1,5,DS-R,2/14/17,
9799,1,-99,DC-Q,2/14/17,couldn't find
3349,1,0,A,2/14/17,
3350,1,2,A,2/14/17,
3366,1,0,A,2/14/17,
3641,1,0,A-Q,2/14/17,
3641,2,0,A-Q,2/14/17,
3641,3,0,A-Q,2/14/17,
3641,4,0,A-Q,2/14/17,
3720,1,5,DS-R,2/14/17,
3715,1,2,A,2/14/17,
3719,1,2,A,2/14/17,
3768,1,2,A,2/14/17,
3768,2,2,A,2/14/17,
3768,3,2,A,2/14/17,
3768,4,3,A,2/14/17,
3768,5,1,A,2/14/17,
9632,1,2,A,2/14/17,
3721,1,2,A,2/14/17,
3721,2,3,A,2/14/17,
3721,3,3,A,2/14/17,
3722,1,5,DS,2/14/17,
3722,2,5,DS,2/14/17,
3728,1,5,DS,2/14/17,
3728,2,5,DS,2/14/17,
3729,1,5,DC-Q,2/14/17,
3734,1,5,DS,2/14/17,
3734,2,5,DS,2/14/17,
3740,1,2,A,2/14/17,
9627,1,0,A,2/14/17,
3896,1,,,,missing data
3897,1,,,,missing data
9633,1,3,A,2/14/17,
3838,1,,,,missing data
3858,1,,,,missing data
3858,2,,,,missing data
9634,1,,,,missing data
2050,2,1,A,2/4/17,
8842,1,1,A,1/28/17,
2008,1,1,A,1/28/17,
1972,1,3,A,1/28/17,
1976,1,3,A,1/28/17,
2021,1,3,A,1/28/17,
2024,1,5,DS-R,1/28/17,
1978,1,3,A,1/28/17,
1977,1,3,A,1/28/17,
2027,1,,DC,1/28/17,
2027,2,1,A,1/28/17,"SOD unknown, stem 1 could not be definitely located; copius rotting Tan Oak where expected"
8843,1,1,A,1/28/17,
2025,1,4,A,1/28/17,
2032,1,2,A,1/28/17,
2031,1,1,A,1/28/17,
2127,1,-99,DC-Q-R,2/11/17,"no tag on log, SOD?"
2116,1,3,A,1/28/17,
8855,1,2,A,2/4/17,
8854,1,1,A,2/4/17,
2181,1,-99,DC-R-B,2/4/17,
8859,1,3,A,2/4/17,
2220,1,2,A,2/4/17,
8864,1,2,A,2/4/17,
8863,1,1,A,2/4/17,
8862,1,1,A,2/4/17,
8852,1,1,A,2/4/17,"leaves appear diseased, brown spots 1-2 cm diameter; see picture"
8853,1,2,A,2/4/17,
8856,1,,,,couldn't find
2406,1,,,,missing data
2408,1,,,,missing data
2407,1,,,,missing data
2409,1,,,,missing data
2403,1,,,,missing data
8632,1,,,,missing data
2413,1,,,,missing data
2401,1,,,,missing data
2415,1,,,,missing data
2397,1,,,,missing data
8874,1,,,,missing data
2398,1,,,,missing data
2416,1,,,,missing data
2399,1,,,,missing data
8873,1,,,,missing data
2367,1,,,,missing data
1555,1,0,A,3/11/17,
1555,2,0,A,3/11/17,
1555,3,0,A,3/11/17,
8767,1,0,A,3/11/17,
1454,1,0,A,3/11/17,
8774,1,5,DS,3/14/17,
1528,1,0,A-R,3/14/17,
1430,1,0,A,3/14/17,
1433,1,0,A,3/14/17,
8772,1,0,A,3/14/17,
1525,1,0,A,3/14/17,
1417,1,-99,DC-Q,3/14/17,"couldn't find, SOD& Status?"
1432,1,0,A,3/14/17,
1478,1,1,A,3/14/17,
1469,1,0,A,3/14/17,
1516,1,0,A-R,3/14/17,
1523,1,0,A,3/14/17,
1519,1,0,A,3/14/17,
1470,1,0,A,3/14/17,
8776,1,,,3/14/17,missing data
8771,1,0,A,3/14/17,
8783,,,,,missing data
8794,,,,,missing data
1740,,,,,missing data
1785,,,,,missing data
8781,,,,,missing data
8784,,,,,missing data
1741,,,,,missing data
8785,1,0,A,3/14/17,
1792,,,,,missing data
8782,,,,,missing data
8787,1,0,A,3/14/17,
8786,,,,,missing data
1782,1,0,A,3/14/17,
1779,1,1,A,3/14/17,
1781,1,0,A,3/14/17,
8779,,,,,missing data
8778,,,,,missing data
8778,,,,,missing data
8791,1,0,A,3/14/17,
1776,,,,,missing data
8789,,,,,missing data
8790,,,,,missing data
8780,,,,,missing data
8737,1,1,A,3/7/17,
8882,1,1,A,3/7/17,
1154,1,0,A,3/7/17,
1140,1,1,A,3/7/17,
1087,1,0,A,3/7/17,
1088,1,0,A,3/7/17,
1138,1,2,A,3/7/17,
1131,1,0,A,3/7/17,
1137,1,2,A,3/7/17,
8747,1,0,A,3/7/17,
8746,1,0,A,3/7/17,
1089,1,5,DS,3/7/17,
1121,1,0,A,3/7/17,
1121,2,0,A,3/7/17,
1121,3,0,A,3/7/17,
1121,4,1,A,3/7/17,
1121,5,1,A,3/7/17,
1121,6,1,A,3/7/17,
1121,7,1,A,3/7/17,
1121,8,0,A,3/7/17,
1113,1,0,A,3/7/17,
1301,1,5,DS,3/11/17,
8757,1,1,A,3/11/17,
8761,1,1,A-R,3/11/17,
8756,1,0,A,3/11/17,
1337,1,1,A,3/11/17,
1338,1,0,A,3/11/17,
1260,1,0,A,3/11/17,
1067,1,0,A,3/11/17,
1274,1,0,A,3/11/17,
1383,1,0,A,3/11/17,
1485,1,0,A,3/11/17,
