quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments,dead,no_tag,no_tag_reason,tag_no,tag_no_new,tag_prefix,tag_id_new,date_dist,trap_dist,FE_startdate,FE_datediff,date_dist_no,tag_prefix_new,FEtag_change,new_tag,n,tag_group,tag_no_prefix,tag_id_change
fall,2011,2011-D,Yiuei & Kathlyn,2011-11-08,2,0,0,NA,NA,y,NA,1,Peromyscus,californicus,NA,NA,NA,NA,lactating,F,NA,145,NA,28,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0001,1,NA,0001,NA,NA,2018-11-17,-2566,NA,NA,NA,y,1,1,0,n
spring,2012,2012-B,Tyler,2012-05-29,2,20,20,NA,NA,y,y,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0001,1,NA,0001,203,28.284271247461902,2018-11-17,-2363,203,NA,NA,n,NA,1,0,n
summer,2010,2010-C,NA,2010-08-01,2,160,80,NA,NA,y,n,1002,Peromyscus,truei,NA,NA,27.5,adult,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002,2,NA,0002,NA,NA,2018-11-17,-3030,NA,NA,NA,n,NA,1,0,y
winter,2012,2012-A,Chris,2012-03-07,3,180,160,NA,NA,y,n,2,Peromyscus,californicus,NA,NA,NA,NA,NA,F,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0002,2,NA,0002,584,82.46211251235322,2018-11-17,-2446,584,NA,NA,n,NA,1,0,n
winter,2012,2012-A,NA,2012-03-08,4,180,160,NA,NA,y,n,2,Peromyscus,californicus,NA,NA,NA,NA,NA,F,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0002,2,NA,0002,1,0,2018-11-17,-2445,1,NA,NA,n,NA,1,0,n
spring,2012,2012-B,Chris & Quin,2012-05-28,1,160,200,NA,NA,y,y,2,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0002,2,NA,0002,81,44.721359549995796,2018-11-17,-2364,81,NA,NA,n,NA,1,0,n
spring,2012,2012-B,Chris & Sam,2012-05-30,3,160,200,NA,NA,y,y,2,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0002,2,NA,0002,2,0,2018-11-17,-2362,2,NA,NA,n,NA,1,0,n
fall,2017,2017-D,"Parker Kaye, Aaron Gormley",2017-11-19,2,160,240,NA,NA,y,y,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,escaped,0002,2,NA,0002,1999,40,2018-11-17,-363,1,NA,NA,y,1,1,0,n
winter,2012,2012-A,NA,2012-03-05,1,120,60,NA,NA,y,n,4,Peromyscus,truei,NA,NA,35,adult,NA,F,NA,100,NA,25,10,NA,NA,NA,NA,NA,NA,Y,NA,NA,"both ears torn (lost tags); re-tagged, MISSING DATA SHEET",NA,NA,NA,0004,4,NA,0004,NA,NA,2018-11-17,-2448,NA,NA,NA,y,1,1,0,n
winter,2012,2012-A,NA,2012-03-06,2,140,80,NA,NA,y,y,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0004,4,NA,0004,1,28.284271247461902,2018-11-17,-2447,1,NA,NA,n,NA,1,0,n
