quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
fall,2011,2011-D,Yiuei & Kathlyn,8-Nov-11,2,0,0,NA,NA,Y,NA,1,Peromyscus,californicus,78,NA,NA,NA,lactating,F,NA,145,NA,28,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Tyler,29-May-12,2,20,20,NA,NA,Y,Y,1,NA,NA,35,NA,NA,NA,NA,NA,NA,90,NA,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,28-May-12,1,160,200,NA,NA,Y,Y,2,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Sam,30-May-12,3,160,200,NA,NA,Y,Y,2,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,Chris,7-Mar-12,2,180,160,NA,NA,Y,N,2,Peromyscus,californicus,35,NA,NA,NA,NA,F,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,8-Mar-12,3,180,160,NA,NA,Y,N,2,Peromyscus,californicus,35,NA,NA,NA,NA,F,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2017,2017-D,"Parker Kaye, Aaron Gormley",19-Nov-17,2,160,240,NA,NA,Y,Y,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA
winter,2012,2012-A,NA,6-Mar-12,1,140,80,NA,NA,Y,Y,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,Chris,7-Mar-12,2,140,80,NA,NA,Y,Y,4,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,8-Mar-12,3,140,80,NA,NA,Y,Y,4,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,"Chris, Quin, Tyler",28-May-12,1,40,120,NA,NA,Y,Y,5,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2010,2010-D,Y. Wang & B Lehman,5-Nov-10,2,80,220,NA,NA,Y,N,6,Peromyscus,truei,36,NA,NA,NA,NA,F,NA,103,NA,22,20,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,4-May-11,3,120,200,NA,NA,Y,Y,6,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,6-May-11,1,120,200,NA,NA,Y,Y,6,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Tyler,30-May-12,3,40,260,NA,NA,Y,N,6,NA,NA,30,NA,NA,NA,NA,M,NA,85,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,28-May-12,1,60,100,NA,NA,Y,N,6,Peromyscus,californicus,30,NA,NA,NA,NA,M,NA,105,NA,23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,Justine Smith & Rachel Brown,7-Sep-12,2,60,260,NA,NA,Y,Y,6,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
