quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,species_together,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
fall,2011,2011-D,Yiuei & Kathlyn,2011-11-08,2,0,0,NA,NA,Y,NA,0001,Peromyscus,californicus,Peromyscus californicus,78,NA,NA,NA,lactating,F,NA,145,NA,28,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Tyler,2012-05-29,2,20,20,NA,NA,Y,Y,0001,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,90,NA,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2010,2010-C,NA,2010-08-01,2,160,80,NA,NA,Y,N,1002,Peromyscus,boylii,Peromyscus boylii,27.5,NA,27.5,adult,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,Chris,2012-03-07,2,180,160,NA,NA,Y,N,0002,Peromyscus,californicus,Peromyscus californicus,35,NA,NA,NA,NA,F,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,2012-03-08,3,180,160,NA,NA,Y,N,0002,Peromyscus,californicus,Peromyscus californicus,35,NA,NA,NA,NA,F,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,2012-05-28,1,160,200,NA,NA,Y,Y,0002,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Sam,2012-05-30,3,160,200,NA,NA,Y,Y,0002,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,2012-03-05,1,120,60,NA,NA,Y,N,0004,Peromyscus,boylii,Peromyscus boylii,35,NA,35,adult,NA,F,NA,100,NA,25,10,NA,NA,NA,NA,NA,NA,Y,NA,NA,"both ears torn (lost tags); re-tagged, MISSING DATA SHEET"
winter,2012,2012-A,NA,2012-03-06,1,140,80,NA,NA,Y,Y,0004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,Chris,2012-03-07,2,140,80,NA,NA,Y,Y,0004,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,2012-03-08,3,140,80,NA,NA,Y,Y,0004,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,"Chris, Quin, Tyler",2012-05-28,1,40,120,NA,NA,Y,Y,0005,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,NA,2009-07-29,1,160,40,NA,NA,Y,N,1006,Peromyscus,boylii,NA,NA,NA,25,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,NA,2009-07-31,3,160,20,NA,NA,Y,Y,1006,Peromyscus,boylii,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
fall,2010,2010-D,Y. Wang & B Lehman,2010-11-05,2,80,220,NA,NA,Y,N,2006,Peromyscus,truei,Peromyscus truei,36,NA,NA,NA,NA,F,NA,103,NA,22,20,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-04,3,120,200,NA,NA,Y,Y,2006,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,2011-05-06,1,120,200,NA,NA,Y,Y,2006,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,2012-05-28,1,60,100,NA,NA,Y,N,0006,Peromyscus,californicus,Peromyscus californicus,30,NA,NA,NA,NA,M,NA,105,NA,23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Tyler,2012-05-30,3,40,260,NA,NA,Y,N,0006,NA,NA,NA,30,NA,NA,NA,NA,M,NA,85,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,Justine Smith & Rachel Brown,2012-09-07,2,60,260,NA,NA,Y,Y,0006,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,2009-04-30,2,100,20,NA,NA,Y,N,1008,Peromyscus,boylii,NA,NA,NA,37.5,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,Recap from March
spring,2009,2009-B,NA,2009-05-01,3,100,20,NA,NA,Y,Y,1008,Peromyscus,boylii,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,Chris Lay & Alex Jones,2012-09-07,2,140,100,NA,NA,Y,N,0008,Peromyscus,californicus,Peromyscus californicus,3,NA,NA,NA,NA,F,NA,117,NA,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
