quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id_old,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
fall,2011,2011-D,Yiuei & Kathlyn,11/8/11,2,0,0,NA,NA,Y,NA,1,1,Peromyscus,californicus,78,NA,NA,NA,lactating,F,NA,145,NA,28,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Tyler,5/29/12,2,20,20,NA,NA,Y,Y,1,1,NA,NA,35,NA,NA,NA,NA,NA,NA,90,NA,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2010,2010-C,NA,8/1/10,2,160,80,NA,NA,Y,N,1002,1002,Peromyscus,boylii,27.5,NA,27.5,adult,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,Chris,3/7/12,2,180,160,NA,NA,Y,N,2,2,Peromyscus,californicus,35,NA,NA,NA,NA,F,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,3/8/12,3,180,160,NA,NA,Y,N,2,2,Peromyscus,californicus,35,NA,NA,NA,NA,F,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,5/28/12,1,160,200,NA,NA,Y,Y,2,2,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Sam,5/30/12,3,160,200,NA,NA,Y,Y,2,2,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,3/5/12,1,120,60,NA,NA,Y,N,4,4,Peromyscus,boylii,35,NA,35,adult,NA,F,NA,100,NA,25,10,NA,NA,NA,NA,NA,NA,Y,NA,NA,"both ears torn (lost tags); re-tagged, MISSING DATA SHEET"
winter,2012,2012-A,NA,3/6/12,1,140,80,NA,NA,Y,Y,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,Chris,3/7/12,2,140,80,NA,NA,Y,Y,4,4,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,3/8/12,3,140,80,NA,NA,Y,Y,4,4,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,"Chris, Quin, Tyler",5/28/12,1,40,120,NA,NA,Y,Y,5,5,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,NA,7/29/09,1,160,40,NA,NA,Y,N,1006,1006,Peromyscus,boylii,NA,NA,25,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,NA,7/31/09,3,160,20,NA,NA,Y,Y,1006,1006,Peromyscus,boylii,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
fall,2010,2010-D,Y. Wang & B Lehman,11/5/10,2,80,220,NA,NA,Y,N,6,1006,Peromyscus,truei,36,NA,NA,NA,NA,F,NA,103,NA,22,20,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,5/4/11,3,120,200,NA,NA,Y,Y,6,1006,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Yiwe & Nick T.,5/6/11,1,120,200,NA,NA,Y,Y,6,1006,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
