quarter,year,ID,Collectors,Date,Day_no,x,y,Animal (Y/N),Recap (Y/N),Bait_stolen (Y/N),Tripped_trap (Y/N),Tag #,Genus,Species,Total_weight (g),Bag_weight (g),Animal_weight (g),Life_stage:,Reproductive:,Sex:,body,Tail: (mm),Tuft: (mm),Foot_length (mm),Ear_length (mm),Ticks_total,ticks_yn,ticks_adult,ticks_nymph,ticks_larvae,Hair,fecal,torn_ear,escaped,tissue,Comments,MARK,Deanna comments,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,40,Y,N,,,,SO,TR,7,,,,,,,45,,10,4,,,,,,,,,,,Y,,ORNATE SHREW,,
fall,2010,2010-D,,4-Nov-10,1,100,20,Y,,,,,SO,OR,8,,,,,,,46,,12,6,,,,,,Y,,,,,Y,,ALIVE,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,20,Y,N,,,42,PE,TR,24,,,,,F,,101,,20,15,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,200,Y,N,,,33,PE,CA,55,,,,L,F,,130,,26,15,,,,,,Y,,,,,Weight greater than scale (>50g) so put weight at 55g,,,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,220,Y,N,,,89,PE,TR,27,,,,,,,106,,22,17,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,40,140,Y,N,,,39,PE,TR,34,10,24,,,M,,103,,24,18,,,,,,Y,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,60,100,Y,N,,,93,PE,CA,50,,,,,F,,135,,25,18,,,,,,Y,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,140,Y,N,,,295,PE,TR,18,,,J,,M,,100,,20,19,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,160,Y,N,,,59,PE,,40,,,,,M,,134,,25,19,,,,,,,,,,,,,,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,80,Y,N,,,86,PE,TR,27,,,,,M,,95,,22,20,,Y,,,,,,,,,Y,,TICK FELL/JUMPED OFF,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,240,Y,Y,,,,PE,TR,32,,,,,M,,95,,24,20,,,,,,,,Y,,,Y,,HAD 3 TAGS; 3 HOLES IN EAR,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,120,Y,N,,,57,PE,TR,28,,,,,F,,102,,21,21,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,280,Y,Y,,,60,PE,TR,28,,,,,M,,120,,24,21,,,,,,Y,,Y,,,Y,,,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,60,Y,Y,,,51,PE,CA,51,,,,,M,,115,,25,22,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,20,Y,N,,,56,PE,TR,23,,,,,M,,112,,28,23,,,,,,Y,,,,,,,,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,120,Y,N,,,297,PE,CA,44,,,,,F,,140,,25,23,,,,,,Y,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,20,Y,N,,,,SO,,14,,,,,,,40,,10,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,60,40,Y,,,,,SO,OR,,,,,,,,45,,,,,,,,,,,,,,Y,,DEAD,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,20,Y,Y,,,79,PE,CA,60,,,,,F,,145,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,60,280,Y,Y,,,76,PE,TR,20,,,,,,,,,,,,,,,,,,,,,Y,,TAIL BITTEN OFF,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,100,Y,Y,,,81,PE,TR,29,,,,,M,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,80,280,Y,Y,,,306,PE,TR,30,,,,,M,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,100,280,Y,Y,,,351,PE,TR,31,,,,,M,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,60,140,Y,Y,,,,PE,TR,33,,,,,,,,,,,,,,,,,,Y,,,Y,,LOST ABOUT 3 TAGS; DIDN'T RETAG,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,40,100,Y,Y,,,336,PE,TR,36,10,26,,,F,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,40,260,Y,Y,,,127,PE,TR,36,10,26,,,M,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,20,Y,Y,,,253,PE,CA,39,,,,,M,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,80,Y,Y,,,260,PE,CA,45,,,,,M,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,260,Y,Y,,,307,PE,CA,50,,,,,M,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,,4-Nov-10,1,60,260,Y,Y,,,78,PE,CA,55,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,260,Y,Y,,,394,PE,CA,57,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,40,60,Y,Y,,,125,PE,CA,55,,,,,M,,,,,,,,,,,,,,,,Weight greater than scale (>50g) so put weight at 55g,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,40,120,Y,Y,,,337,PE,CA,55,,,,,M,,,,,,,,,,,,,,,,Weight greater than scale (>50g) so put weight at 55g,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,120,260,Y,Y,,,269,PE,CA,55,,,,,M,,,,,,,,,,,,,,,,Weight greater than scale (>50g) so put weight at 55g,,,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,100,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,120,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,140,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,160,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,180,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,200,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,260,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Michale, Leighton, Rachel, Sabrina",4-Nov-10,1,20,280,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,40,20,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,40,40,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,40,80,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Kathlyn Franco,4-Nov-10,1,40,160,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
