quarter,year,ID,date,day_no,tag_error_flag,tag_id,tag_id_new,date_dist,trap_dist,x,y,animal,recap,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,comments
fall,2011,2011-D,2011-11-08,2,NA,1,0001,NA,NA,0,0,Y,NA,Peromyscus,californicus,78,NA,NA,NA,lactating,F,NA,145,NA,28,21,NA
spring,2012,2012-B,2012-05-29,2,NA,1,0001,203,28.284271247461902,20,20,Y,Y,NA,NA,35,NA,NA,NA,NA,NA,NA,90,NA,25,15,NA
summer,2010,2010-C,2010-08-01,2,NA,1002,1002,NA,NA,160,80,Y,N,Peromyscus,truei,27.5,NA,27.5,adult,NA,M,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,2012-03-07,3,NA,2,0002,NA,NA,180,160,Y,N,Peromyscus,californicus,35,NA,NA,NA,NA,F,NA,141,NA,NA,NA,NA
winter,2012,2012-A,2012-03-08,4,NA,2,0002,1,0,180,160,Y,N,Peromyscus,californicus,35,NA,NA,NA,NA,F,NA,141,NA,NA,NA,NA
spring,2012,2012-B,2012-05-28,1,NA,2,0002,81,44.721359549995796,160,200,Y,Y,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-30,3,NA,2,0002,2,0,160,200,Y,Y,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2017,2017-D,2017-11-19,2,date distance large,2,0002,1999,40,160,240,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,2012-03-05,1,NA,4,0004,NA,NA,120,60,Y,N,Peromyscus,truei,35,NA,35,adult,NA,F,NA,100,NA,25,10,"both ears torn (lost tags); re-tagged, MISSING DATA SHEET"
winter,2012,2012-A,2012-03-06,2,NA,4,0004,1,28.284271247461902,140,80,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,2012-03-07,3,NA,4,0004,1,0,140,80,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,2012-03-08,4,NA,4,0004,1,0,140,80,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-28,1,NA,5,0005,NA,NA,40,120,Y,Y,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,2009-07-29,1,NA,1006,1006,NA,NA,160,40,Y,N,Peromyscus,truei,NA,NA,25,adult,NA,M,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,2009-07-31,3,NA,1006,1006,2,20,160,20,Y,Y,Peromyscus,truei,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA
fall,2010,2010-D,2010-11-05,2,NA,6,0006,NA,NA,80,220,Y,N,Peromyscus,truei,36,NA,NA,NA,NA,F,NA,103,NA,22,20,NA
spring,2011,2011-B,2011-05-04,1,NA,6,0006,180,44.721359549995796,120,200,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,2011-05-06,3,NA,6,0006,2,0,120,200,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-28,1,trap distance large,6,0006,388,116.61903789690601,60,100,Y,N,Peromyscus,californicus,30,NA,NA,NA,NA,M,NA,105,NA,23,20,NA
spring,2012,2012-B,2012-05-30,3,trap distance large,6,0006,2,161.24515496597098,40,260,Y,N,NA,NA,30,NA,NA,NA,NA,M,NA,85,NA,20,10,NA
summer,2012,2012-C,2012-09-07,2,NA,6,0006,100,20,60,260,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,2009-04-30,2,NA,1008,1008,NA,NA,100,20,Y,N,Peromyscus,truei,NA,NA,37.5,adult,NA,F,NA,NA,NA,NA,NA,Recap from March
spring,2009,2009-B,2009-05-01,3,NA,1008,1008,1,0,100,20,Y,Y,Peromyscus,truei,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-07,2,NA,8,0008,NA,NA,140,100,Y,N,Peromyscus,californicus,3,NA,NA,NA,NA,F,NA,117,NA,24,19,NA
spring,2009,2009-B,2009-04-30,2,NA,9,1009,NA,NA,160,20,Y,N,Peromyscus,truei,NA,NA,27,adult,NA,M,NA,NA,NA,NA,NA,Recap from March
summer,2009,2009-C,2009-07-30,2,NA,9,1009,91,0,160,20,Y,Y,Peromyscus,truei,NA,NA,27,adult,NA,M,NA,NA,NA,NA,NA,NA
fall,2009,2009-D,2009-10-29,3,NA,9,1009,91,28.284271247461902,180,40,Y,Y,Peromyscus,truei,NA,NA,24,adult,NA,M,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-06,1,NA,9,0009,NA,NA,60,280,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,2012-11-11,2,trap distance large,9,0009,66,72.11102550927978,20,220,Y,Y,Peromyscus,truei,28,10,18,NA,NA,M,NA,100,NA,24,16,NA
fall,2012,2012-D,2012-11-12,3,NA,9,0009,1,0,20,220,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,2015-08-01,1,NA,10,0010,NA,NA,160,160,Y,N,Peromyscus,californicus,50,10,40,adult,NA,M,NA,128,NA,27,13,NA
summer,2015,2015-C,2015-08-02,2,NA,10,0010,1,20,140,160,Y,Y,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,2015-08-03,3,NA,10,0010,1,0,140,160,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2017,2017-D,2017-11-20,3,NA,12,0012,NA,NA,40,280,Y,Y,Peromyscus,californicus,55,10,45,adult,NA,F,NA,131,6,24,21,NA
