quarter,year,ID,Collectors,Date,x,Y,Animal,Tag,Genus,Species,life_stage,recap,torn_ear,escaped,weight,Sex,reproduction,Hair,tissue,tail,foot,ear,bait_stolen,trap_malfunction,ticks,Comments,,,,,,
spring,2009,2009-B,,4/29/2009,20,20,Y,125,Peromyscus,californicus,adult,N,,,37,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,20,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,20,60,Y,176,Peromyscus,californicus,adult,N,,,43,M,,,,125,25,22,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,20,80,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,20,100,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,20,120,Y,150,Peromyscus,californicus,adult,N,,,47.5,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,20,140,Y,177,Peromyscus,boylii,adult,N,,,24,M,,,,105,22,21,,,2,ticks,,,,,,
spring,2009,2009-B,,4/29/2009,20,160,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,20,180,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,20,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,20,220,Y,124,Peromyscus,boylii,adult,N,,,20,F,,,,,22,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,20,240,Y,149,Peromyscus,californicus,adult,N,,,42,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,20,260,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,20,280,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,40,20,Y,175,Peromyscus,boylii,adult,N,,,29,F,,,,116,24,22,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,40,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,40,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,40,80,Y,198,Peromyscus,boylii,adult,N,,,28,F,,,,,,,,,,clipped ear,,,,,,
spring,2009,2009-B,,4/29/2009,40,100,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,40,120,Y,23,Peromyscus,californicus,adult,N,,,46,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,40,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,40,160,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,40,180,Y,122,Peromyscus,boylii,adult,N,,,26,M,,,,,,,,,2,ticks,,,,,,
spring,2009,2009-B,,4/29/2009,40,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,40,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,40,240,Y,123,Peromyscus,californicus,adult,N,,,39,F,,,,,,,,,2,ticks,,,,,,
spring,2009,2009-B,,4/29/2009,40,260,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,40,280,Y,148,Peromyscus,boylii,adult,N,,,24,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,20,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,80,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,100,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,120,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,160,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,180,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,240,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,260,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,60,280,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,20,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,80,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,100,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,120,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,160,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,180,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,200,Y,199,Peromyscus,boylii,adult,N,,,22,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,240,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,80,260,Y,196,Peromyscus,boylii,adult,N,Y,,25.5,M,,,,,,,,,2,"ticks, split ear",,,,,,
spring,2009,2009-B,,4/29/2009,80,280,Y,194,Peromyscus,boylii,adult,N,,,23,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,20,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,80,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,100,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,120,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,160,Y,26,Peromyscus,boylii,adult,N,,,26,F,,,,,,,,,,recapture from March,,,,,,
spring,2009,2009-B,,4/29/2009,100,180,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,240,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,260,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,100,280,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,120,20,Y,173,Peromyscus,californicus,adult,N,,,42,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,120,40,Y,147,Peromyscus,boylii,adult,N,,,35,F,,,,,,,,,,"hairless tail, not bicolored",,,,,,
spring,2009,2009-B,,4/29/2009,120,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,120,80,Y,51,Peromyscus,californicus,adult,N,,,35,M,,,,,,,,,,recapture from March,,,,,,
spring,2009,2009-B,,4/29/2009,120,100,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,120,120,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,120,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,120,160,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,120,180,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,120,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,120,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,120,240,Y,178,Peromyscus,boylii,adult,N,,,28.5,F,,,,108,23,20,,,,hairless tail,,,,,,
spring,2009,2009-B,,4/29/2009,120,260,Y,174,Peromyscus,californicus,adult,N,,,40,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,120,280,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,20,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,80,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,100,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,120,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,160,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,180,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,240,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,260,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,140,280,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,20,Y,146,Peromyscus,californicus,adult,N,Y,,58,F,pregnant,,,,,,,,,"Hole in R ear, possible recap; maybe pregnant",,,,,,
spring,2009,2009-B,,4/29/2009,160,40,Y,172,Peromyscus,boylii,adult,N,,,22,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,80,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,100,Y,171,Peromyscus,californicus,adult,N,,,50,F,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,120,Y,170,Peromyscus,boylii,adult,N,,,26,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,140,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,160,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,180,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,200,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,220,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,240,Y,169,Peromyscus,californicus,adult,N,,,54,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,260,Y,168,Peromyscus,boylii,adult,N,,,24,M,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,160,280,Y,145,Peromyscus,californicus,adult,N,,,40,F,,,,,,,,,2,Ticks,,,,,,
spring,2009,2009-B,,4/29/2009,180,20,Y,49,Peromyscus,californicus,adult,N,,,44,,,,,,,,,,,Recapture from March,,,,,,
spring,2009,2009-B,,4/29/2009,180,40,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,180,60,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,180,80,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,180,100,N,,,,,,,,,,,,,,,,,,,,,,,,,
spring,2009,2009-B,,4/29/2009,180,120,N,,,,,,,,,,,,,,,,,,,,,,,,,
