quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
spring,2009,2009-B,NA,4/29/09,1,180,20,NA,NA,y,n,49,Peromyscus,californicus,NA,NA,44,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,Recapture from March
spring,2009,2009-B,NA,4/29/09,1,40,180,NA,NA,y,n,122,Peromyscus,truei,NA,NA,26,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,ticks
spring,2009,2009-B,NA,4/29/09,1,20,220,NA,NA,y,n,124,Peromyscus,truei,NA,NA,20,adult,NA,F,NA,NA,NA,22,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,20,20,NA,NA,y,n,125,Peromyscus,californicus,NA,NA,37,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,160,280,NA,NA,y,n,145,Peromyscus,californicus,NA,NA,40,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,Ticks
spring,2009,2009-B,NA,4/29/09,1,40,280,NA,NA,y,n,148,Peromyscus,truei,NA,NA,24,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,20,240,NA,NA,y,n,149,Peromyscus,californicus,NA,NA,42,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,160,120,NA,NA,y,n,170,Peromyscus,truei,NA,NA,26,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,20,60,NA,NA,y,n,176,Peromyscus,californicus,NA,NA,43,adult,NA,M,NA,125,NA,25,22,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,80,280,NA,NA,y,n,194,Peromyscus,truei,NA,NA,23,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,80,260,NA,NA,y,n,196,Peromyscus,truei,NA,NA,25.5,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,Y,NA,NA,"ticks, split ear"
spring,2009,2009-B,NA,4/29/09,1,80,200,NA,NA,y,n,199,Peromyscus,truei,NA,NA,22,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,40,120,NA,NA,y,n,1023,Peromyscus,californicus,NA,NA,46,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,100,160,NA,NA,y,n,1026,Peromyscus,truei,NA,NA,26,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,recapture from March
spring,2009,2009-B,NA,4/29/09,1,120,80,NA,NA,y,n,1051,Peromyscus,californicus,NA,NA,35,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,recapture from March
spring,2009,2009-B,NA,4/29/09,1,40,240,NA,NA,y,n,1123,Peromyscus,californicus,NA,NA,39,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,ticks
spring,2009,2009-B,NA,4/29/09,1,160,20,NA,NA,y,n,1146,Peromyscus,californicus,NA,NA,58,adult,pregnant,F,NA,NA,NA,NA,NA,0,N,0,0,NA,NA,Y,NA,NA,"Hole in R ear, possible recap; maybe pregnant"
spring,2009,2009-B,NA,4/29/09,1,120,40,NA,NA,y,n,1147,Peromyscus,truei,NA,NA,35,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,"hairless tail, not bicolored"
spring,2009,2009-B,NA,4/29/09,1,20,120,NA,NA,y,n,1150,Peromyscus,truei,NA,NA,47.5,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,160,260,NA,NA,y,n,1168,Peromyscus,truei,NA,NA,24,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,160,240,NA,NA,y,n,1169,Peromyscus,californicus,NA,NA,54,adult,NA,M,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,160,100,NA,NA,y,n,1171,Peromyscus,californicus,NA,NA,50,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,160,40,NA,NA,y,n,1172,Peromyscus,truei,NA,NA,22,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,120,20,NA,NA,y,n,1173,Peromyscus,californicus,NA,NA,42,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,4/29/09,1,120,260,NA,NA,y,n,1174,Peromyscus,californicus,NA,NA,40,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
